indicador_id,secao,grupo,indicador,unidade,periodo,ordem_periodo,valor,variacao_trimestral_abs,variacao_trimestral_pct,variacao_anual_abs,variacao_anual_pct,situacao_trimestral,situacao_anual,fonte
ocupacao--conta-propria-com-cnpj,Ocupação,Conta própria,Conta própria — com CNPJ,Mil pessoas,out-nov-dez/2025,2,141.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--conta-propria-com-cnpj,Ocupação,Conta própria,Conta própria — com CNPJ,Mil pessoas,jan-fev-mar/2026,3,127.0,-14.0,-10.1,-5.0,-4.0,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--conta-propria-sem-cnpj,Ocupação,Conta própria,Conta própria — sem CNPJ,Mil pessoas,jan-fev-mar/2025,1,849.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--conta-propria-sem-cnpj,Ocupação,Conta própria,Conta própria — sem CNPJ,Mil pessoas,out-nov-dez/2025,2,912.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--conta-propria-sem-cnpj,Ocupação,Conta própria,Conta própria — sem CNPJ,Mil pessoas,jan-fev-mar/2026,3,867.0,-45.0,-4.9,18.0,2.2,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--trabalhadores-familiares-auxiliares,Ocupação,Posição e categoria,Trabalhadores familiares auxiliares,Mil pessoas,jan-fev-mar/2025,1,43.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--trabalhadores-familiares-auxiliares,Ocupação,Posição e categoria,Trabalhadores familiares auxiliares,Mil pessoas,out-nov-dez/2025,2,45.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--trabalhadores-familiares-auxiliares,Ocupação,Posição e categoria,Trabalhadores familiares auxiliares,Mil pessoas,jan-fev-mar/2026,3,44.0,-1.0,-2.3,1.0,2.1,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--agricultura-pecuaria-producao-florestal-pesca-e-aquicultura,Atividades,Grupamentos de atividade,"Agricultura, pecuária, produção florestal, pesca e aquicultura",Mil pessoas,jan-fev-mar/2025,1,330.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--agricultura-pecuaria-producao-florestal-pesca-e-aquicultura,Atividades,Grupamentos de atividade,"Agricultura, pecuária, produção florestal, pesca e aquicultura",Mil pessoas,out-nov-dez/2025,2,340.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
