geografia,grupo_geografico,indicador,unidade,periodo,valor,destaque_ceara,fonte
Paraíba,Estados do Nordeste,Ocupadas,Mil pessoas,out-nov-dez/2024,1651.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Paraíba,Estados do Nordeste,Desocupadas,Mil pessoas,out-nov-dez/2024,152.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Paraíba,Estados do Nordeste,Pessoas de 14 anos ou mais,Mil pessoas,out-nov-dez/2024,3270.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Paraíba,Estados do Nordeste,Taxa composta de subutilização da força de trabalho,%,out-nov-dez/2024,23.3,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Paraíba,Estados do Nordeste,Rendimento médio mensal real habitual,R$,out-nov-dez/2024,2420.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Paraíba,Estados do Nordeste,Massa de rendimento mensal real habitual,R$ milhões,out-nov-dez/2024,3902.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Pernambuco,Estados do Nordeste,Taxa de desocupação,%,out-nov-dez/2024,10.2,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Pernambuco,Estados do Nordeste,Nível da ocupação,%,out-nov-dez/2024,50.5,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Pernambuco,Estados do Nordeste,Taxa de participação na força de trabalho,%,out-nov-dez/2024,56.3,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Pernambuco,Estados do Nordeste,Ocupadas,Mil pessoas,out-nov-dez/2024,3960.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Pernambuco,Estados do Nordeste,Desocupadas,Mil pessoas,out-nov-dez/2024,450.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Pernambuco,Estados do Nordeste,Pessoas de 14 anos ou mais,Mil pessoas,out-nov-dez/2024,7834.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Pernambuco,Estados do Nordeste,Taxa composta de subutilização da força de trabalho,%,out-nov-dez/2024,25.3,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Pernambuco,Estados do Nordeste,Rendimento médio mensal real habitual,R$,out-nov-dez/2024,2511.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Pernambuco,Estados do Nordeste,Massa de rendimento mensal real habitual,R$ milhões,out-nov-dez/2024,9779.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Alagoas,Estados do Nordeste,Taxa de desocupação,%,out-nov-dez/2024,8.1,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Alagoas,Estados do Nordeste,Nível da ocupação,%,out-nov-dez/2024,48.8,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Alagoas,Estados do Nordeste,Taxa de participação na força de trabalho,%,out-nov-dez/2024,53.1,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Alagoas,Estados do Nordeste,Ocupadas,Mil pessoas,out-nov-dez/2024,1305.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Alagoas,Estados do Nordeste,Desocupadas,Mil pessoas,out-nov-dez/2024,115.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Alagoas,Estados do Nordeste,Pessoas de 14 anos ou mais,Mil pessoas,out-nov-dez/2024,2673.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Alagoas,Estados do Nordeste,Taxa composta de subutilização da força de trabalho,%,out-nov-dez/2024,26.6,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Alagoas,Estados do Nordeste,Rendimento médio mensal real habitual,R$,out-nov-dez/2024,2352.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Alagoas,Estados do Nordeste,Massa de rendimento mensal real habitual,R$ milhões,out-nov-dez/2024,3008.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Sergipe,Estados do Nordeste,Taxa de desocupação,%,out-nov-dez/2024,8.4,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Sergipe,Estados do Nordeste,Nível da ocupação,%,out-nov-dez/2024,53.4,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Sergipe,Estados do Nordeste,Taxa de participação na força de trabalho,%,out-nov-dez/2024,58.4,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Sergipe,Estados do Nordeste,Ocupadas,Mil pessoas,out-nov-dez/2024,1019.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Sergipe,Estados do Nordeste,Desocupadas,Mil pessoas,out-nov-dez/2024,94.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
